Задача: Транспонировать матрицу (в качестве строк должны быть года) и создать SQL запрос для переноса этой таблицы в базу данных Postgres

	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Удмуртская Республика	110,848	126,380	134,884	148,026	158,979	177,785	191,887	241,749	276,635	295,679	316,712	345,916	379,045	403,890	445,530	468,424	513,395
Чувашская Республика	74,437	97,343	102,048	130,243	134,502	145,390	161,071	206,563	233,072	252,404	271,201	303,733	312,768	340,632	345,162	377,176	387,833
Пермский край	195,032	284,607	311,519	350,663	364,418	446,990	488,487	549,018	625,856	649,630	710,807	792,780	840,083	894,454	965,005	1,053,745	1,105,762
Кировская область	80,348	95,342	108,481	133,060	137,178	150,474	159,307	185,956	201,833	216,632	233,575	264,586	275,703	293,234	307,546	360,181	399,650
Нижегородская область	191,224	215,696	274,123	322,259	344,404	391,783	471,955	575,914	661,826	749,068	839,088	912,893	999,092	1,074,521	1,293,265	1,901,596	1,615,184
Оренбургская область	131,164	156,926	174,855	183,290	182,621	195,410	233,488	283,114	347,084	395,642	451,584	540,250	603,908	732,726	742,655	821,718	874,108
Пензенская область	82,493	84,961	99,991	130,998	138,733	150,264	162,354	179,407	209,922	239,561	254,971	259,696	288,031	309,493	371,449	466,390	449,265
Самарская область	271,101	302,370	352,001	447,045	495,420	537,996	575,194	662,406	754,880	804,283	856,348	962,876	1,042,739	1,130,358	1,227,029	1,334,762	1,476,458
Саратовская область	184,931	197,679	246,511	288,070	291,367	299,768	336,932	400,495	472,211	505,229	537,399	584,736	627,234	693,029	692,426	729,487	816,719
Ульяновская область	82,544	91,404	99,098	116,378	118,632	124,004	130,826	155,302	177,789	233,852	253,378	279,256	302,916	324,740	341,025	369,866	376,784
Уральский федеральный округ	1,480,677	2,084,861	2,633,188	3,048,002	3,250,417	4,028,189	4,510,549	5,231,700	6,313,601	6,952,446	7,947,044	8,485,098	10,389,012	10,594,296	11,009,996	11,559,770	13,185,972
Курганская область	59,630	56,646	75,353	92,517	88,238	93,413	98,106	118,464	132,466	148,051	156,252	166,323	190,164	219,031	225,838	304,943	310,956
Свердловская область	346,402	393,418	522,531	621,411	658,805	788,015	832,231	900,996	1,040,808	1,131,790	1,274,279	1,417,571	1,862,561	1,863,839	2,061,428	2,224,179	2,590,159
Тюменская область	842,276	1,384,505	1,728,538	1,918,735	2,065,881	2,677,736	3,062,197	3,540,287	4,377,430	4,881,187	5,665,215	5,973,968	7,349,529	7,462,151	7,535,378	7,710,496	8,828,019
Ханты-Мансийский автономный округ-Югра	555,633	756,604	909,374	994,049	1,104,590	1,410,981	1,551,831	1,802,457	2,192,965	2,448,991	2,878,038	2,797,507	3,246,736	3,611,421	3,370,698	3,508,324	3,730,917
Ямало-Ненецкий автономный округ	171,770	426,116	639,967	727,942	775,207	1,068,389	1,229,739	1,357,654	1,755,192	1,917,933	2,192,999	2,498,437	3,291,630	2,984,188	3,289,929	3,292,743	4,045,675
Тюменская область (кроме Ханты-Мансийского автономного округа - Югры и Ямало-Ненецкого автономного округа)														866,542	874,751	909,429	1,051,427
Челябинская область	232,369	250,292	306,766	415,339	437,493	469,025	518,015	671,953	762,897	791,418	851,298	927,236	986,758	1,049,275	1,187,352	1,320,152	1,456,838
Сибирский федеральный округ	1,264,044	1,378,147	1,566,589	1,839,138	1,972,101	2,093,319	2,345,590	2,894,855	3,420,044	4,070,951	4,412,232	4,934,251	5,506,747	5,808,188	6,346,656	6,737,236	7,213,750
Республика Алтай	10,960	13,121	12,856	12,992	13,479	14,633	16,001	22,357	24,547	26,721	30,095	39,891	43,860	58,322	57,126	74,461	81,431
Республика Тыва	9,604	9,599	9,741	11,528	11,666	11,808	13,124	15,957	17,332	19,398	21,033	27,065	33,801	37,488	43,653	47,166	53,209
Республика Хакасия	40,634	45,764	53,137	61,627	73,361	71,621	81,624	115,501	149,789	148,332	155,194	177,899	189,999	200,459	230,468	245,803	247,406
Алтайский край	121,861	133,644	148,168	184,044	193,119	196,093	221,893	265,505	303,369	338,435	363,956	377,797	407,099	444,486	458,554	468,567	487,517
Красноярский край	255,249	287,522	342,715	406,016	434,737	441,838	488,406	565,639	655,126	789,394	864,863	954,892	1,100,479	1,251,308	1,373,117	1,553,309	1,728,387
Иркутская область	226,590	244,715	278,384	303,408	319,276	330,933	333,965	407,066	574,122	895,558	984,985	1,168,171	1,244,660	1,095,918	1,105,307	1,116,737	1,284,393
Кемеровская область - Кузбасс	201,059	215,351	232,554	265,916	287,558	343,671	409,330	500,583	562,984	600,102	646,204	719,869	848,050	982,119	1,104,003	1,140,618	1,210,930
Новосибирская область	195,308	203,937	227,818	266,188	287,537	314,604	366,663	451,782	526,075	583,908	628,653	637,267	713,941	783,488	946,878	1,030,359	1,070,941
Омская область	106,561	114,833	137,576	164,306	171,870	179,511	204,382	270,164	298,527	326,690	352,162	377,863	424,082	461,200	515,173	534,990	534,019
Томская область	96,218	109,661	123,640	163,113	179,498	188,607	210,202	280,301	308,173	342,413	365,087	453,537	500,776	493,400	512,377	525,226	515,517
Дальневосточный федеральный округ	855,532	992,120	1,089,057	1,328,291	1,385,010	1,512,762	1,667,586	2,036,229	2,409,569	3,022,588	3,207,498	3,988,883	4,871,388	5,261,485	5,769,166	7,112,210	7,726,924
Республика Бурятия	68,355	88,793	102,618	108,347	115,797	127,302	119,857	169,698	194,849	207,667	221,137	236,571	263,805	281,620	298,191	299,927	318,888
Республика Саха (Якутия)	143,100	153,091	170,145	221,960	239,701	268,970	289,433	339,427	423,503	426,726	437,648	516,937	756,354	829,896	920,557	1,003,750	1,170,371
Забайкальский край	74,678	100,760	122,275	133,029	130,282	152,732	182,571	212,870	242,508	266,304	284,866	314,933	362,229	386,086	470,713	534,304	591,282
Камчатский край	44,178	42,828	45,801	51,354	57,670	57,571	63,143	85,187	90,141	93,677	101,806	142,329	156,233	173,080	192,922	208,266	272,793
Приморский край	107,546	137,000	171,750	238,677	246,919	246,146	235,317	298,408	318,776	404,423	450,512	757,406	1,054,509	1,111,957	1,026,600	1,697,946	1,957,439
Хабаровский край	192,407	217,787	185,014	202,848	205,079	220,018	241,823	304,613	338,204	379,694	408,619	584,914	716,671	784,913	853,965	868,989	934,891
Амурская область	102,635	122,773	144,302	196,324	204,769	238,812	259,748	303,943	311,764	331,922	351,098	385,833	459,957	483,684	479,077	484,400	556,024
Магаданская область	28,400	31,358	37,950	42,991	43,656	42,412	42,549	52,044	54,098	61,776	62,036	64,625	78,906	126,111	119,422	132,353	147,715
Сахалинская область	67,050	71,581	79,736	97,720	101,919	117,561	181,414	200,649	356,778	769,333	789,534	874,985	871,676	918,019	1,231,365	1,696,014	1,515,812
Еврейская автономная область	14,355	17,437	19,987	24,319	25,379	30,008	35,057	50,704	54,473	52,448	67,324	76,008	115,983	115,816	121,568	128,599	141,533
Чукотский автономный округ	12,828	8,712	9,479	10,722	13,839	11,230	16,674	18,686	24,475	28,618	32,918	34,342	35,065	50,303	54,786	57,662	120,176


ВАЖНО: обратить внимание на то, чтобы на пересечении оставались те же числа, что и в оригинальных данных.
